Page title and screen class,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue
Intelligence | PSI Website,12,10,1.2,33.2,18,0,0
Scott McKelvey,12,12,1,13.25,15,0,0
David Dougherty,11,9,1.222222222,70.33333333,24,0,0
Bill Niemeyer,10,11,0.909090909,41.18181818,25,0,0
Clinical Services & Manpower Management | PSI Website,10,5,2,193,15,0,0
Medical Web Applications Support | PSI Website,10,8,1.25,18.125,19,0,0
PSI Announces Appointment of Strategic Advisor,10,10,1,54,19,0,0
Blood Management | PSI Website,9,7,1.285714286,21,13,0,0
"Chiang Ren, Ph.D.",9,8,1.125,11.875,12,0,0
Data Engineering | PSI Website,9,8,1.125,18.625,13,0,0
Health Systems Implementation & Training | PSI Website,9,7,1.285714286,18,11,0,0
Eric Skiff,8,8,1,16.875,11,0,0
I Work for PSI,8,7,1.142857143,17.57142857,31,0,0
IT Modernization | PSI Website,8,7,1.142857143,32.57142857,11,0,0
ProSphere,8,8,1,3.75,29,0,0
DOE Awards Navarro-ATL Team $389 Million Contract for Management and Operation of Hanford 222-S,7,7,1,20.85714286,14,0,0
GSA Alliant 2 Unrestricted Government-Wide Acquisition Contract,7,6,1.166666667,47.33333333,51,0,0
Health Information Exchange Implementati | PSI Website,7,5,1.4,30.4,10,0,0
PSI's Annual Charity Golf Tournament | PSI Website,7,6,1.166666667,32.66666667,18,0,0
Clinical Systems Development | PSI Website,6,6,1,18.66666667,8,0,0
Dr. Dean Smith,6,5,1.2,31.8,11,0,0
Shianna S.,6,4,1.5,12.25,7,0,0
State & Local | PSI Website,6,5,1.2,32,12,0,0
Transformation Twenty-One Total Technology-Next Generation (T4NG)  ,6,4,1.5,23.75,6,0,0
Chief Information Officer Solutions and Partners 3 (CIO-SP3),5,4,1.25,76.25,8,0,0
Cloud Computing | PSI Website,5,5,1,19.8,10,0,0
Digital Engineering | PSI Website,5,4,1.25,35,9,0,0
"GSA Information Technology (IT) Services, Schedule 70  ",5,3,1.666666667,21.33333333,5,0,0
Medical Modeling & Simulation | PSI Website,5,5,1,14.6,8,0,0
Medical Readiness Support | PSI Website,5,5,1,8.4,8,0,0
Modeling & Simulation | PSI Website,5,5,1,19.2,9,0,0
PSI Acquires ProSphere to Enhance its Position as a Health IT Leader,5,4,1.25,4.25,14,0,0
A Brief Intro to Template Metaprogramming in C++,4,3,1.333333333,61.33333333,9,0,0
DevSecOps | PSI Website,4,4,1,25.75,7,0,0
"Enterprise Architecture, Design, & Testi | PSI Website",4,4,1,119.75,5,0,0
Life at PSI (retired) | PSI Website,4,4,1,33.75,10,0,0
Organizational Oversight and Process Imp | PSI Website,4,4,1,33,6,0,0
Quality Assurance | PSI Website,4,4,1,14,6,0,0
Systems Intergration | PSI Website,4,5,0.8,12.8,11,0,0
Tabbitha P.,4,4,1,9.25,11,0,0
Treva D.,4,4,1,46.75,7,0,0
ATL AWARDED BPA BY CENTERS FOR DISEASE CONTROL AND PREVENTION TO PROVIDE SUPPORT SERVICES,3,2,1.5,38,5,0,0
Engineering Psychology | PSI Website,3,2,1.5,20.5,6,0,0
J6 Enterprise Technology Services (DLA JETS),3,3,1,10,9,0,0
One Acquisition Solution for Integrated Services (OASIS),3,3,1,28.66666667,7,0,0
PSI JV Awarded $15.6 Million Contract to Provide Customer Support Services Support to Army,3,2,1.5,31.5,5,0,0
PSI Launches State-of-the-art Innovation Facility in Florida,3,3,1,11.66666667,8,0,0
Salesforce Development 2023: Best Practices and Q&As,3,5,0.6,24,15,0,0
Stacy F.,3,3,1,9,4,0,0
Tag-Dispatch in C++,3,3,1,26.33333333,17,0,0
Transitioning Military 1 | PSI Website,3,3,1,10.66666667,12,0,0
404 | PSI Website,2,1,2,15,7,0,0
Cyfluent - PSI Website,2,1,2,33,2,0,0
DISA ENCORE III,2,1,2,27,3,0,0
"ERPSI WINS $96,212,866 RECOMPETE TO PROVIDE DEVOPS SUPPORT TO USCIS",2,2,1,0.5,4,0,0
Mark C.,2,2,1,9,2,0,0
PSI Innovation Facility,2,3,0.666666667,13.66666667,4,0,0
Quarterline,2,1,2,23,5,0,0
VMware vSphere 8.0: Virtualization Perfected,2,2,1,8.5,9,0,0
Whose face was featured on PSI's first website - PSI Website,2,1,2,160,2,0,0
Zachary M.,2,2,1,13,3,0,0
budget - PSI Website,2,1,2,14,2,0,0
iaas - PSI Website,2,1,2,60,2,0,0
institutional review board - PSI Website,2,1,2,92,2,0,0
11634 - PSI Website,1,1,1,15,1,0,0
500 | PSI Website,1,1,1,30,1,0,0
ATL - PSI Website,1,1,1,7,1,0,0
ATL Awarded $75 Million CDC NIOSH BPA,1,1,1,8,1,0,0
Adoption benefits - PSI Website,1,1,1,23,2,0,0
Cloud Custodian,1,1,1,51,2,0,0
Cost Management in the Cloud ,1,1,1,13,1,0,0
Database Guidance | PSI Website,1,1,1,7,1,0,0
Dave Ehrlich - PSI Website,1,1,1,7,2,0,0
GS35F598GA - PSI Website,1,1,1,0,2,0,0
GSA Professional Services Schedule (PSS)  ,1,1,1,2,1,0,0
"Go Fetch, FIDO2! Is a Passwordless Future on the Horizon?",1,1,1,14,2,0,0
If I Were an Authorizing Official (AO)…,1,1,1,106,2,0,0
Information Technology Enterprise Solutions – 3 Services (ITES-3S),1,1,1,11,2,0,0
J6 Enterprise Technology Services (DLA JETS)  ,1,1,1,22,1,0,0
Keep Installed Software Up to Date (And Keep Hackers at Bay)!,1,1,1,41,1,0,0
Lambda Expressions and Their Evolution Across C++ Versions,1,1,1,38,6,0,0
MPSE - PSI Website,1,1,1,8,1,0,0
Making a Difference,1,1,1,0,3,0,0
MicroHealth/PSI Team Awarded $250M U.S. Department of State Protected Health Information Management ,1,1,1,1,1,0,0
NetApp Backups to AWS,1,1,1,0,3,0,0
PSI AWARDED $149 MILLION CONTRACT TO CONTINUE PROVIDING ENTERPRISE TESTING SERVICE SUPPORT SERVICES ,1,1,1,0,1,0,0
PSI AWARDED $83 MILLION CONTRACT TO PROVIDE C2MS II SUPPORT TO AFSOF,1,1,1,0,1,0,0
PSI Awarded $8 Million U.S. Army Europe’s Installation Access Control Support Services Contract,1,1,1,0,1,0,0
PSI BOLSTERS ITS POSITION AS GLOBAL HEALTH IT LEADER WITH ACQUISITION OF QUARTERLINE,1,1,1,1,1,0,0
PSI NAMES NEW CIO TO ITS SENIOR LEADERSHIP TEAM,1,1,1,1,1,0,0
PSI Named Among Computerworld’s Best Places to Work in IT for Fifth Straight Year,1,1,1,0,1,0,0
PSI Named Among Computerworld’s Best Places to Work in IT for Sixth Straight Year,1,1,1,0,1,0,0
PSI RAMPS UP FOR GROWTH WITH ADDITIONS TO LEADERSHIP TEAM,1,1,1,1,1,0,0
Perspectives-1 | PSI Website,1,1,1,5,1,0,0
Podcast | PSI Website,1,1,1,13,2,0,0
Preventable Incidents,1,1,1,10,2,0,0
Quality - PSI Website,1,1,1,24,4,0,0
SASE: An Evolution in Cloud Security ,1,1,1,7,1,0,0
SeaPort Next Generation (SeaPort-NxG),1,2,0.5,3.5,4,0,0
SeaPort Next Generation (SeaPort-NxG) ,1,1,1,7,1,0,0
Strategic Partners Acquisition Readiness Contract (CMS SPARC),1,1,1,11,2,0,0
Transformation Twenty-One Total Technology-Next Generation (T4NG),1,1,1,8,4,0,0
UKg - PSI Website,1,1,1,10,1,0,0
Using Type Traits in C++,1,1,1,0,4,0,0
VHIE - PSI Website,1,1,1,15,2,0,0
What the Heck is dHCI?,1,1,1,0,3,0,0
alan constant - PSI Website,1,1,1,27,1,0,0
billboard - PSI Website,1,1,1,8,1,0,0
c2ms - PSI Website,1,1,1,4,1,0,0
company portal - PSI Website,1,1,1,69,2,0,0
company portal software - PSI Website,1,1,1,131,2,0,0
costpoint - PSI Website,1,1,1,19,1,0,0
delaware - PSI Website,1,1,1,8,1,0,0
direct deposit - PSI Website,1,1,1,17,1,0,0
entry level web - PSI Website,1,1,1,5,1,0,0
featured face - PSI Website,1,1,1,35,1,0,0
gollf charity - PSI Website,1,1,1,51,1,0,0
hedgehog - PSI Website,1,1,1,23,2,0,0
human resource - PSI Website,1,1,1,63,2,0,0
humiliation - PSI Website,1,1,1,19,1,0,0
live scan - PSI Website,1,1,1,34,2,0,0
locations - PSI Website,1,1,1,22,2,0,0
logo - PSI Website,1,1,1,7,1,0,0
lucas singletary - PSI Website,1,1,1,30,2,0,0
phone - PSI Website,1,1,1,9,1,0,0
podcast - PSI Website,1,1,1,5,1,0,0
rob lauver - PSI Website,1,1,1,21,1,0,0
servicenow - PSI Website,1,1,1,29,1,0,0
supplier - PSI Website,1,1,1,6,3,0,0
supply schedule - PSI Website,1,1,1,32,3,0,0
susan bass - PSI Website,1,1,1,30,1,0,0
tampa - PSI Website,1,1,1,9,2,0,0
tbm - PSI Website,1,1,1,7,2,0,0
washington spirit - PSI Website,1,1,1,17,2,0,0
website - PSI Website,1,1,1,20,1,0,0
Πληροφορική | Planned Systems International (PSI) | Άρλινγκτον,1,1,1,1,4,0,0
Cost Management in the Cloud,0,1,0,11,1,0,0
"GSA Information Technology (IT) Services, Schedule 70",0,1,0,9,2,0,0
GSA Professional Services Schedule (PSS),0,1,0,22,1,0,0
Informationstechnologie | Geplante Systeme International (PSI) | Arlington,0,1,0,17,1,0,0
Salesforce 開発 2023: ベストプラクティスと Q&A,0,1,0,0,1,0,0
Technologie de l'information | Planned Systems International (PSI) | Arlington,0,1,0,5,1,0,0
The Importance of Creating Baselines,0,0,0,0,2,0,0
agile - PSI Website,0,1,0,82,1,0,0
department of state - PSI Website,0,1,0,53,1,0,0
historical website - PSI Website,0,1,0,75,1,0,0
time sheet - PSI Website,0,1,0,19,1,0,0
